,index,Episode Number,Key,Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulativ reward,agent_id
0,0,0,[861821.],0,10,0,0,400,0.4646658799600495,-20.0,0
1,1132,0,[186832.],1,11,0,0,289,0.5292187613968031,-52.0,1
2,2250,0,[734538.],0,16,0,0,400,0.465159499912933,-32.0,2
3,3382,0,[513589.],0,11,0,0,400,0.4344427683377695,-22.0,3
4,1,1,[861821.],1,8,0,0,337,0.5046045320823794,-46.0,0
5,1133,1,[186832.],1,23,0,0,294,0.5286883657265232,-76.0,1
6,2251,1,[734538.],0,16,0,0,400,0.4779327875247199,-32.0,2
7,3383,1,[513589.],1,16,0,0,288,0.5896802953349651,-62.0,3
8,2,2,[861821.],1,8,0,0,170,0.7499269147692426,-46.0,0
9,1134,2,[186832.],1,9,0,0,232,0.6063029364246428,-48.0,1
10,2252,2,[734538.],1,13,0,0,375,0.4767865398706494,-56.0,2
11,3384,2,[513589.],1,15,0,0,272,0.5561284956720076,-60.0,3
12,3,3,[861821.],1,8,0,0,202,0.674912278994802,-46.0,0
13,1135,3,[186832.],1,3,0,0,135,0.8618196786898498,-36.0,1
14,2253,3,[734538.],1,3,0,0,98,1.1634175973128058,-36.0,2
15,3385,3,[513589.],1,3,0,0,160,0.7752150163428554,-36.0,3
16,4,4,[861821.],1,13,0,0,253,0.5932408963096903,-56.0,0
17,1136,4,[186832.],1,5,0,0,182,0.7310294107328998,-40.0,1
18,2254,4,[734538.],0,10,0,0,400,0.477156221915134,-20.0,2
19,3386,4,[513589.],1,3,0,0,136,0.9289381302054128,-36.0,3
20,5,5,[861821.],0,15,0,0,400,0.4567766130527388,-30.0,0
21,1137,5,[186832.],1,3,0,0,140,0.8655259915314434,-36.0,1
22,2255,5,[734538.],1,3,0,0,95,1.1845912422773637,-36.0,2
23,3387,5,[513589.],0,17,0,0,400,0.4746619120615495,-34.0,3
24,6,6,[861821.],0,23,0,0,400,0.4602710725980128,-46.0,0
25,1138,6,[186832.],1,4,0,0,179,0.7405116521574785,-38.0,1
26,2256,6,[734538.],1,15,0,0,342,0.5169423742531909,-60.0,2
27,3388,6,[513589.],1,2,0,0,143,0.8991093036857148,-34.0,3
28,7,7,[861821.],1,11,0,0,217,0.6287030657111288,-52.0,0
29,1139,7,[186832.],1,13,0,0,255,0.5848226531937241,-56.0,1
30,2257,7,[734538.],1,10,0,0,262,0.58269610001287,-50.0,2
31,3389,7,[513589.],1,3,0,0,143,0.8550430388575172,-36.0,3
32,8,8,[861821.],1,9,0,0,220,0.6340431936980674,-48.0,0
33,1140,8,[186832.],1,10,0,0,191,0.6977888393972158,-50.0,1
34,2258,8,[734538.],1,3,0,0,114,1.048672030438206,-36.0,2
35,3390,8,[513589.],1,3,0,0,114,1.0407516267515102,-36.0,3
36,9,9,[861821.],0,23,0,0,400,0.4606703396544306,-46.0,0
37,1141,9,[186832.],1,7,0,0,254,0.5835644048041344,-44.0,1
38,2259,9,[734538.],0,10,0,0,400,0.4685206253273679,-20.0,2
39,3391,9,[513589.],1,3,0,0,96,1.2088235633143671,-36.0,3
40,10,10,[861821.],1,8,0,0,131,0.916365231418143,-46.0,0
41,1142,10,[186832.],1,8,0,0,205,0.682470425075678,-46.0,1
42,2260,10,[734538.],1,3,0,0,171,0.7783346381583289,-36.0,2
43,3392,10,[513589.],1,15,0,0,231,0.6347946000339695,-60.0,3
44,11,11,[861821.],1,11,0,0,303,0.5231888061971404,-52.0,0
45,1143,11,[186832.],1,7,0,0,187,0.681692335480854,-44.0,1
46,2261,11,[734538.],1,13,0,0,273,0.5648214682284713,-56.0,2
47,3393,11,[513589.],0,8,0,0,400,0.4787402356790244,-16.0,3
48,12,12,[861821.],1,8,0,0,227,0.6251209765030687,-46.0,0
49,1144,12,[186832.],1,8,0,0,129,0.9160907953711036,-46.0,1
50,2262,12,[734538.],1,3,0,0,162,0.8082941254181389,-36.0,2
51,3394,12,[513589.],1,10,0,0,357,0.5074836728775337,-50.0,3
52,13,13,[861821.],1,3,0,0,120,0.957897041869284,-36.0,0
53,1145,13,[186832.],1,4,0,0,208,0.6710964514811167,-38.0,1
54,2263,13,[734538.],1,15,0,0,235,0.6343053668939382,-60.0,2
55,3395,13,[513589.],0,18,0,0,400,0.4717518206114899,-36.0,3
56,14,14,[861821.],1,4,0,0,179,0.7472768605456074,-38.0,0
57,1146,14,[186832.],0,16,0,0,400,0.4640678837939297,-32.0,1
58,2264,14,[734538.],1,3,0,0,88,1.2995357296327894,-36.0,2
59,3396,14,[513589.],0,13,0,0,400,0.4703667174651725,-26.0,3
60,15,15,[861821.],1,4,0,0,127,0.9268576674326192,-38.0,0
61,1147,15,[186832.],1,9,0,0,244,0.6120564380954274,-48.0,1
62,2265,15,[734538.],1,16,0,0,345,0.4972359846308661,-62.0,2
63,3397,15,[513589.],1,3,0,0,124,0.9962707258390284,-36.0,3
64,16,16,[861821.],1,9,0,0,156,0.8004926021442589,-48.0,0
65,1148,16,[186832.],1,11,0,0,218,0.6421833066971838,-52.0,1
66,2266,16,[734538.],1,8,0,0,163,0.7901642901284576,-46.0,2
67,3398,16,[513589.],0,14,0,0,400,0.4704466885951003,-28.0,3
68,17,17,[861821.],1,6,0,0,321,0.5168426715948907,-42.0,0
69,1149,17,[186832.],1,20,0,0,344,0.4833364605139967,-70.0,1
70,2267,17,[734538.],1,5,0,0,163,0.8091428681111883,-40.0,2
71,3399,17,[513589.],0,6,0,0,400,0.4650053432886367,-12.0,3
72,18,18,[861821.],1,6,0,0,175,0.7584400497879294,-42.0,0
73,1150,18,[186832.],1,7,0,0,185,0.6944519445968559,-44.0,1
74,2268,18,[734538.],1,15,0,0,207,0.6848557493618675,-60.0,2
75,3400,18,[513589.],1,6,0,0,283,0.5666940476712539,-42.0,3
76,19,19,[861821.],1,3,0,0,165,0.7640551105195067,-36.0,0
77,1151,19,[186832.],1,18,0,0,317,0.509366309824447,-66.0,1
78,2269,19,[734538.],1,7,0,0,359,0.4982841139678116,-44.0,2
79,3401,19,[513589.],0,15,0,0,400,0.4527426543192149,-30.0,3
80,20,20,[861821.],1,3,0,0,167,0.7483382193056094,-36.0,0
81,1152,20,[186832.],0,14,0,0,400,0.457584672445227,-28.0,1
82,2270,20,[734538.],1,15,0,0,357,0.5037836014283261,-60.0,2
83,3402,20,[513589.],1,18,0,0,335,0.5096008361881859,-66.0,3
84,21,21,[861821.],1,3,0,0,95,1.1532970093276271,-36.0,0
85,1153,21,[186832.],1,3,0,0,131,0.9115240701738928,-36.0,1
86,2271,21,[734538.],1,3,0,0,137,0.9207947897817964,-36.0,2
87,3403,21,[513589.],1,15,0,0,317,0.5443291045292342,-60.0,3
88,22,22,[861821.],1,5,0,0,212,0.6448489885123667,-40.0,0
89,1154,22,[186832.],1,10,0,0,270,0.5651743102234239,-50.0,1
90,2272,22,[734538.],1,3,0,0,92,1.247751925947314,-36.0,2
91,3404,22,[513589.],1,20,0,0,371,0.4846806220901826,-70.0,3
92,23,23,[861821.],1,8,0,0,189,0.7027282957247334,-46.0,0
93,1155,23,[186832.],1,8,0,0,155,0.8109512285211724,-46.0,1
