,index,Episode Number,Key,Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulativ reward,agent_id
0,0,0,[845836.],1,18,0,0,359,0.479081619186619,-66,0
1,290,0,[923917.],1,4,0,0,144,0.857185918687236,-38,1
2,623,0,[929573.],1,15,0,0,268,0.575235379370863,-60,2
3,948,0,[624484.],1,3,0,0,92,1.21954159391704,-36,3
4,1,1,[845836.],1,9,0,0,221,0.63761330512166,-48,0
5,291,1,[923917.],0,12,0,0,400,0.455195205175797,-24,1
6,624,1,[929573.],1,3,0,0,168,0.77366641038981,-36,2
7,949,1,[624484.],1,3,0,0,151,0.821747473153854,-36,3
8,2,2,[845836.],1,5,0,0,162,0.770977901791344,-40,0
9,292,2,[923917.],1,8,0,0,176,0.724560436084942,-46,1
10,625,2,[929573.],0,20,0,0,400,0.48680185090496,-40,2
11,950,2,[624484.],1,7,0,0,391,0.477331242217755,-44,3
12,3,3,[845836.],1,12,0,0,304,0.542043301271345,-54,0
13,293,3,[923917.],1,3,0,0,127,0.914754846629493,-36,1
14,626,3,[929573.],0,18,0,0,400,0.47107090654884,-36,2
15,951,3,[624484.],1,18,0,0,229,0.63242912051047,-66,3
16,4,4,[845836.],1,8,0,0,139,0.873001127332994,-46,0
17,294,4,[923917.],1,10,0,0,232,0.615658879343326,-50,1
18,627,4,[929573.],1,3,0,0,94,1.2282973454542,-36,2
19,952,4,[624484.],0,6,0,0,400,0.475449057506425,-12,3
20,5,5,[845836.],1,9,0,0,381,0.468112413937725,-48,0
21,295,5,[923917.],0,25,0,0,400,0.458101823570521,-50,1
22,628,5,[929573.],1,2,0,0,98,1.16522273572442,-34,2
23,953,5,[624484.],1,15,0,0,295,0.552857273590471,-60,3
24,6,6,[845836.],1,3,0,0,261,0.566672025600553,-36,0
25,296,6,[923917.],1,7,0,0,248,0.58150070735212,-44,1
26,629,6,[929573.],1,5,0,0,134,0.899820026028248,-40,2
27,954,6,[624484.],1,3,0,0,167,0.783956911517963,-36,3
28,7,7,[845836.],1,8,0,0,190,0.704370019009968,-46,0
29,297,7,[923917.],1,9,0,0,161,0.782927929554716,-48,1
30,630,7,[929573.],1,14,0,0,369,0.509346958892594,-58,2
31,955,7,[624484.],0,12,0,0,400,0.454932236681483,-24,3
32,8,8,[845836.],1,20,0,0,302,0.525339833836207,-70,0
33,298,8,[923917.],1,3,0,0,157,0.778593634835448,-36,1
34,631,8,[929573.],0,14,0,0,400,0.478409524584269,-28,2
35,956,8,[624484.],1,5,0,0,124,0.98484815123522,-40,3
36,9,9,[845836.],0,18,0,0,400,0.470337446801642,-36,0
37,299,9,[923917.],1,5,0,0,182,0.695921216350016,-40,1
38,632,9,[929573.],1,3,0,0,92,1.22035974591882,-36,2
39,957,9,[624484.],0,8,0,0,400,0.452506820406383,-16,3
40,10,10,[845836.],1,8,0,0,180,0.720859012408318,-46,0
41,300,10,[923917.],1,4,0,0,130,0.912453833322685,-38,1
42,633,10,[929573.],0,11,0,0,400,0.462512406609348,-22,2
43,958,10,[624484.],1,18,0,0,360,0.487434581902533,-66,3
44,11,11,[845836.],1,9,0,0,175,0.754561542565551,-48,0
45,301,11,[923917.],1,23,0,0,362,0.481934128711483,-76,1
46,634,11,[929573.],1,15,0,0,207,0.688014849644368,-60,2
47,959,11,[624484.],1,13,0,0,219,0.661886177828497,-56,3
48,12,12,[845836.],1,9,0,0,163,0.774837013400067,-48,0
49,302,12,[923917.],1,7,0,0,129,0.906316874344371,-44,1
50,635,12,[929573.],1,15,0,0,227,0.654375798537054,-60,2
51,960,12,[624484.],1,12,0,0,216,0.661657660593105,-54,3
52,13,13,[845836.],1,14,0,0,250,0.575755232776251,-58,0
53,303,13,[923917.],1,7,0,0,202,0.669886219571519,-44,1
54,636,13,[929573.],1,13,0,0,228,0.649965227365533,-56,2
55,961,13,[624484.],1,14,0,0,170,0.746911457782048,-58,3
56,14,14,[845836.],1,13,0,0,188,0.711685259342603,-56,0
57,304,14,[923917.],1,8,0,0,159,0.783750549347029,-46,1
58,637,14,[929573.],1,13,0,0,169,0.773795787531768,-56,2
59,962,14,[624484.],1,13,0,0,187,0.744041781829646,-56,3
60,15,15,[845836.],1,9,0,0,128,0.923999366974393,-48,0
61,305,15,[923917.],1,15,0,0,244,0.606510418856775,-60,1
62,638,15,[929573.],1,18,0,0,342,0.499988204618276,-66,2
63,963,15,[624484.],1,16,0,0,184,0.726773133478808,-62,3
64,16,16,[845836.],1,8,0,0,133,0.899391623322149,-46,0
65,306,16,[923917.],1,8,0,0,124,0.929085218755258,-46,1
66,639,16,[929573.],1,14,0,0,242,0.617177479185509,-58,2
67,964,16,[624484.],1,15,0,0,269,0.553465206935004,-60,3
68,17,17,[845836.],1,9,0,0,170,0.753941309046632,-48,0
69,307,17,[923917.],1,7,0,0,147,0.838650698480459,-44,1
70,640,17,[929573.],1,13,0,0,297,0.548822918107125,-56,2
71,965,17,[624484.],0,18,0,0,400,0.471512305800288,-36,3
72,18,18,[845836.],1,8,0,0,111,1.02346346375317,-46,0
73,308,18,[923917.],1,8,0,0,184,0.709849850894342,-46,1
74,641,18,[929573.],1,14,0,0,280,0.56023622366743,-58,2
