,index,Episode Number,Key,Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulativ reward,agent_id
0,0,0,[62232.],1,18,0,0,386,0.4625925637886021,-66.0,0
1,480,0,[218411.],1,9,0,0,270,0.5584110324282612,-48.0,1
2,963,0,[686261.],0,12,0,0,400,0.4643039851441174,-24.0,2
3,1444,0,[905226.],0,10,0,0,400,0.4811669652364828,-20.0,3
4,1,1,[62232.],1,3,0,0,107,1.0487272727454786,-36.0,0
5,481,1,[218411.],1,5,0,0,137,0.8716707829509694,-40.0,1
6,964,1,[686261.],0,16,0,0,400,0.4762029324519692,-32.0,2
7,1445,1,[905226.],1,19,0,0,326,0.5141268333371075,-68.0,3
8,2,2,[62232.],1,4,0,0,181,0.727101521634747,-38.0,0
9,482,2,[218411.],1,13,0,0,288,0.5461612207110347,-56.0,1
10,965,2,[686261.],1,3,0,0,189,0.6862362036605706,-36.0,2
11,1446,2,[905226.],1,5,0,0,210,0.6827296635089554,-40.0,3
12,3,3,[62232.],1,9,0,0,317,0.510914387274657,-48.0,0
13,483,3,[218411.],1,3,0,0,194,0.6829760419696765,-36.0,1
14,966,3,[686261.],0,13,0,0,400,0.4817551359345561,-26.0,2
15,1447,3,[905226.],1,3,0,0,89,1.3062078014916878,-36.0,3
16,4,4,[62232.],1,8,0,0,159,0.7866662771731059,-46.0,0
17,484,4,[218411.],1,7,0,0,114,1.0084842040136517,-44.0,1
18,967,4,[686261.],1,3,0,0,267,0.5920277207474572,-36.0,2
19,1448,4,[905226.],0,14,0,0,400,0.4686213335285374,-28.0,3
20,5,5,[62232.],1,8,0,0,212,0.6329616624218781,-46.0,0
21,485,5,[218411.],1,9,0,0,319,0.5115398477425305,-48.0,1
22,968,5,[686261.],1,17,0,0,340,0.5040040878992693,-64.0,2
23,1449,5,[905226.],1,3,0,0,132,0.9375989024032644,-36.0,3
24,6,6,[62232.],1,3,0,0,120,0.938410071792228,-36.0,0
25,486,6,[218411.],0,18,0,0,400,0.4662354403041878,-36.0,1
26,969,6,[686261.],1,9,0,0,198,0.6986488125751013,-48.0,2
27,1450,6,[905226.],1,16,0,0,384,0.4760027354482544,-62.0,3
28,7,7,[62232.],0,11,0,0,400,0.4598011664860306,-22.0,0
29,487,7,[218411.],1,8,0,0,196,0.6890254228022011,-46.0,1
30,970,7,[686261.],0,15,0,0,400,0.4644132930642564,-30.0,2
31,1451,7,[905226.],1,17,0,0,360,0.4934806345381786,-64.0,3
32,8,8,[62232.],1,9,0,0,305,0.5355085074542775,-48.0,0
33,488,8,[218411.],1,10,0,0,195,0.6784404680442365,-50.0,1
34,971,8,[686261.],1,5,0,0,232,0.6430918923419197,-40.0,2
35,1452,8,[905226.],1,5,0,0,137,0.8829001739801863,-40.0,3
36,9,9,[62232.],1,9,0,0,231,0.6242061233889038,-48.0,0
37,489,9,[218411.],1,5,0,0,223,0.627258525185133,-40.0,1
38,972,9,[686261.],1,3,0,0,97,1.1642794574757955,-36.0,2
39,1453,9,[905226.],1,7,0,0,356,0.4906464950266038,-44.0,3
40,10,10,[62232.],1,9,0,0,174,0.7553835959137513,-48.0,0
41,490,10,[218411.],0,10,0,0,400,0.4433184306413888,-20.0,1
