,index,Episode Number,Key,Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulativ reward,agent_id
0,0,0,[376593.],1,9,0,0,180,0.699109274633094,-48,0
1,312,0,[257815.],0,10,0,0,400,0.468449639207582,-20,1
2,618,0,[403333.],1,14,0,0,248,0.611757133219515,-58,2
3,921,0,[190285.],1,8,0,0,250,0.595880866987013,-46,3
4,1,1,[376593.],1,17,0,0,332,0.512414499176132,-64,0
5,313,1,[257815.],1,17,0,0,375,0.491058931090328,-64,1
6,619,1,[403333.],1,3,0,0,102,1.10967148098688,-36,2
7,922,1,[190285.],1,3,0,0,88,1.25531892440821,-36,3
8,2,2,[376593.],1,3,0,0,139,0.872912722418147,-36,0
9,314,2,[257815.],1,5,0,0,211,0.665160139887321,-40,1
10,620,2,[403333.],0,10,0,0,400,0.48424165991836,-20,2
11,923,2,[190285.],1,3,0,0,136,0.914337328851132,-36,3
12,3,3,[376593.],1,8,0,0,285,0.543799940770047,-46,0
13,315,3,[257815.],1,8,0,0,122,0.968001341794821,-46,1
14,621,3,[403333.],1,14,0,0,361,0.498606415892086,-58,2
15,924,3,[190285.],1,3,0,0,120,1.02405474273643,-36,3
16,4,4,[376593.],1,9,0,0,218,0.63537741597972,-48,0
17,316,4,[257815.],1,7,0,0,367,0.489143261399331,-44,1
18,622,4,[403333.],0,16,0,0,400,0.481079887328363,-32,2
19,925,4,[190285.],0,12,0,0,400,0.481054603818247,-24,3
20,5,5,[376593.],1,3,0,0,170,0.755096303554297,-36,0
21,317,5,[257815.],0,2,0,0,400,0.465852569982303,-4,1
22,623,5,[403333.],1,5,0,0,174,0.77574455670108,-40,2
23,926,5,[190285.],1,13,0,0,241,0.619579859137568,-56,3
24,6,6,[376593.],1,6,0,0,168,0.766335947277215,-42,0
25,318,6,[257815.],0,2,0,0,400,0.462470395507508,-4,1
26,624,6,[403333.],1,4,0,0,273,0.58383467351112,-38,2
27,927,6,[190285.],0,8,0,0,400,0.480444043217645,-16,3
28,7,7,[376593.],1,7,0,0,211,0.651281344288798,-44,0
29,319,7,[257815.],1,4,0,0,154,0.810864961559002,-38,1
30,625,7,[403333.],0,12,0,0,400,0.472910126387368,-24,2
31,928,7,[190285.],1,3,0,0,107,1.0706511783263,-36,3
32,8,8,[376593.],0,15,0,0,400,0.458388737053785,-30,0
33,320,8,[257815.],0,8,0,0,400,0.455208196587703,-16,1
34,626,8,[403333.],0,19,0,0,400,0.466177177131852,-38,2
35,929,8,[190285.],0,9,0,0,400,0.453371187927835,-18,3
36,9,9,[376593.],1,8,0,0,243,0.589955055159898,-46,0
37,321,9,[257815.],1,3,0,0,179,0.719441418326076,-36,1
38,627,9,[403333.],0,10,0,0,400,0.466676894633442,-20,2
39,930,9,[190285.],0,5,0,0,400,0.46823284186093,-10,3
40,10,10,[376593.],1,3,0,0,211,0.678162260734755,-36,0
41,322,10,[257815.],0,18,0,0,400,0.453880938428934,-36,1
42,628,10,[403333.],0,8,0,0,400,0.465572319477048,-16,2
43,931,10,[190285.],0,6,0,0,400,0.463387966467282,-12,3
44,11,11,[376593.],0,18,0,0,400,0.45582784537915,-36,0
45,323,11,[257815.],1,3,0,0,118,0.97406804272651,-36,1
46,629,11,[403333.],0,8,0,0,400,0.481237156147861,-16,2
47,932,11,[190285.],0,8,0,0,400,0.459182880965142,-16,3
48,12,12,[376593.],0,9,0,0,400,0.449125876319568,-18,0
49,324,12,[257815.],1,9,0,0,276,0.528896817607014,-48,1
50,630,12,[403333.],0,6,0,0,400,0.475107907701679,-12,2
51,933,12,[190285.],0,12,0,0,400,0.469697343277255,-24,3
52,13,13,[376593.],1,5,0,0,144,0.85794137869893,-40,0
53,325,13,[257815.],0,12,0,0,400,0.459331278314124,-24,1
54,631,13,[403333.],0,15,0,0,400,0.467734039487135,-30,2
55,934,13,[190285.],0,14,0,0,400,0.502277230909837,-28,3
56,14,14,[376593.],1,3,0,0,105,1.04298579511964,-36,0
57,326,14,[257815.],0,8,0,0,400,0.450716083639106,-16,1
58,632,14,[403333.],0,9,0,0,400,0.479978847916495,-18,2
59,935,14,[190285.],0,13,0,0,400,0.487963203784222,-26,3
60,15,15,[376593.],0,8,0,0,400,0.449152017674034,-16,0
61,327,15,[257815.],0,11,0,0,400,0.467096769698297,-22,1
62,633,15,[403333.],0,10,0,0,400,0.468366661202211,-20,2
63,936,15,[190285.],0,3,0,0,400,0.460670105322406,-6,3
64,16,16,[376593.],0,12,0,0,400,0.467797384233909,-24,0
65,328,16,[257815.],0,12,0,0,400,0.457820833431197,-24,1
66,634,16,[403333.],0,6,0,0,400,0.479322735516235,-12,2
67,937,16,[190285.],0,9,0,0,400,0.476147759037407,-18,3
68,17,17,[376593.],0,8,0,0,400,0.465536968876791,-16,0
69,329,17,[257815.],0,13,0,0,400,0.460136571287019,-26,1
70,635,17,[403333.],0,6,0,0,400,0.461487719730133,-12,2
71,938,17,[190285.],0,10,0,0,400,0.46925751343941,-20,3
72,18,18,[376593.],1,9,0,0,347,0.498359604598017,-48,0
73,330,18,[257815.],0,14,0,0,400,0.462788589113875,-28,1
74,636,18,[403333.],0,8,0,0,400,0.473908846375852,-16,2
75,939,18,[190285.],0,9,0,0,400,0.482524408995472,-18,3
76,19,19,[376593.],0,12,0,0,400,0.46371745211359,-24,0
77,331,19,[257815.],0,11,0,0,400,0.466286653462711,-22,1
78,637,19,[403333.],0,12,0,0,400,0.452530541830636,-24,2
79,940,19,[190285.],0,8,0,0,400,0.485628914887565,-16,3
80,20,20,[376593.],0,4,0,0,400,0.467723645897016,-8,0
81,332,20,[257815.],0,4,0,0,400,0.468152676180127,-8,1
82,638,20,[403333.],0,6,0,0,400,0.480439123321751,-12,2
83,941,20,[190285.],0,16,0,0,400,0.458333709147516,-32,3
84,21,21,[376593.],0,8,0,0,400,0.452645843171791,-16,0
85,333,21,[257815.],0,2,0,0,400,0.473501967591554,-4,1
86,639,21,[403333.],0,2,0,0,400,0.462004928869276,-4,2
87,942,21,[190285.],0,4,0,0,400,0.47103312304857,-8,3
88,22,22,[376593.],0,2,0,0,400,0.465466597094994,-4,0
89,334,22,[257815.],0,2,0,0,400,0.46435112652371,-4,1
90,640,22,[403333.],0,14,0,0,400,0.468363876442776,-28,2
91,943,22,[190285.],0,2,0,0,400,0.460466604000495,-4,3
92,23,23,[376593.],0,2,0,0,400,0.449455096400964,-4,0
93,335,23,[257815.],0,6,0,0,400,0.467471417354025,-12,1
94,641,23,[403333.],0,2,0,0,400,0.46406173881446,-4,2
95,944,23,[190285.],0,10,0,0,400,0.462057635581112,-20,3
96,24,24,[376593.],0,14,0,0,400,0.471179272269996,-28,0
97,336,24,[257815.],0,8,0,0,400,0.461688233495083,-16,1
98,642,24,[403333.],0,10,0,0,400,0.474286188038327,-20,2
99,945,24,[190285.],0,8,0,0,400,0.482011368017042,-16,3
100,25,25,[376593.],0,2,0,0,400,0.462411714388066,-4,0
101,337,25,[257815.],0,2,0,0,400,0.473780531544909,-4,1
102,643,25,[403333.],0,6,0,0,400,0.466423485524442,-12,2
103,946,25,[190285.],0,2,0,0,400,0.472505079618938,-4,3
104,26,26,[376593.],0,2,0,0,400,0.454810610499115,-4,0
105,338,26,[257815.],0,4,0,0,400,0.453114553003309,-8,1
106,644,26,[403333.],1,6,0,0,274,0.575053497217957,-42,2
107,947,26,[190285.],0,2,0,0,400,0.459645763705245,-4,3
108,27,27,[376593.],0,4,0,0,400,0.465724723409909,-8,0
109,339,27,[257815.],0,4,0,0,400,0.467646182597284,-8,1
110,645,27,[403333.],0,2,0,0,400,0.475854994458577,-4,2
111,948,27,[190285.],0,3,0,0,400,0.474006814798766,-6,3
112,28,28,[376593.],0,2,0,0,400,0.461096726199527,-4,0
113,340,28,[257815.],0,2,0,0,400,0.464493901169276,-4,1
114,646,28,[403333.],0,4,0,0,400,0.462104721177371,-8,2
115,949,28,[190285.],0,2,0,0,400,0.476242226275086,-4,3
116,29,29,[376593.],0,2,0,0,400,0.447245416735604,-4,0
117,341,29,[257815.],0,2,0,0,400,0.44302999523603,-4,1
118,647,29,[403333.],0,2,0,0,400,0.480543043410072,-4,2
119,950,29,[190285.],0,2,0,0,400,0.464699292661777,-4,3
120,30,30,[376593.],0,8,0,0,400,0.47270634465053,-16,0
121,342,30,[257815.],0,2,0,0,400,0.460871431000592,-4,1
122,648,30,[403333.],1,5,0,0,287,0.574865430087823,-40,2
123,951,30,[190285.],0,6,0,0,400,0.473354713231306,-12,3
124,31,31,[376593.],0,2,0,0,400,0.457550732771658,-4,0
125,343,31,[257815.],0,6,0,0,400,0.458777883589896,-12,1
126,649,31,[403333.],0,6,0,0,400,0.471687900683103,-12,2
127,952,31,[190285.],1,4,0,0,293,0.558241837552891,-38,3
128,32,32,[376593.],0,6,0,0,400,0.446472023225451,-12,0
129,344,32,[257815.],0,2,0,0,400,0.462657821728069,-4,1
130,650,32,[403333.],1,2,0,0,279,0.551317079965401,-34,2
131,953,32,[190285.],0,11,0,0,400,0.471098952663452,-22,3
132,33,33,[376593.],0,2,0,0,400,0.463345697245486,-4,0
133,345,33,[257815.],0,4,0,0,400,0.458024177801335,-8,1
134,651,33,[403333.],0,15,0,0,400,0.47336034071914,-30,2
135,954,33,[190285.],0,4,0,0,400,0.463612547840999,-8,3
136,34,34,[376593.],0,2,0,0,400,0.460737205919452,-4,0
137,346,34,[257815.],0,2,0,0,400,0.463577011885521,-4,1
138,652,34,[403333.],1,6,0,0,279,0.565329086449289,-42,2
139,955,34,[190285.],0,4,0,0,400,0.479382227720117,-8,3
140,35,35,[376593.],0,2,0,0,400,0.476538527043289,-4,0
141,347,35,[257815.],0,2,0,0,400,0.457700085414472,-4,1
142,653,35,[403333.],0,5,0,0,400,0.466449729853676,-10,2
143,956,35,[190285.],0,2,0,0,400,0.455093266330001,-4,3
144,36,36,[376593.],0,4,0,0,400,0.465952323786306,-8,0
145,348,36,[257815.],0,4,0,0,400,0.471110687586934,-8,1
146,654,36,[403333.],1,2,0,0,280,0.561547015414599,-34,2
147,957,36,[190285.],0,2,0,0,400,0.466155831125417,-4,3
148,37,37,[376593.],0,2,0,0,400,0.469914647612846,-4,0
149,349,37,[257815.],0,22,0,0,400,0.453180627629068,-44,1
