,index,Episode Number,Key,Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulativ reward,agent_id
0,0,0,[904736.],1,15,0,0,320,0.5101551348303356,-60.0,0
1,581,0,[278376.],1,8,0,0,137,0.8837537527559165,-46.0,1
2,1170,0,[296101.],1,19,0,0,389,0.4749164349524076,-68.0,2
3,1744,0,[445948.],1,3,0,0,115,1.031958165437021,-36.0,3
4,1,1,[904736.],1,7,0,0,190,0.6958765199767052,-44.0,0
5,582,1,[278376.],1,3,0,0,284,0.5502794553569433,-36.0,1
6,1171,1,[296101.],1,15,0,0,245,0.6149829349368116,-60.0,2
7,1745,1,[445948.],1,5,0,0,165,0.7765034140263672,-40.0,3
8,2,2,[904736.],1,13,0,0,310,0.5142950879752171,-56.0,0
9,583,2,[278376.],1,19,0,0,343,0.4948798486380594,-68.0,1
10,1172,2,[296101.],1,14,0,0,210,0.671615450435387,-58.0,2
11,1746,2,[445948.],1,7,0,0,353,0.5056926496605809,-44.0,3
12,3,3,[904736.],0,16,0,0,400,0.4522868939054299,-32.0,0
13,584,3,[278376.],1,8,0,0,323,0.5092930074227483,-46.0,1
14,1173,3,[296101.],0,16,0,0,400,0.465745250840064,-32.0,2
15,1747,3,[445948.],1,3,0,0,72,1.4948296683339737,-36.0,3
16,4,4,[904736.],1,5,0,0,201,0.6530671889606867,-40.0,0
17,585,4,[278376.],1,4,0,0,327,0.5012903862374652,-38.0,1
18,1174,4,[296101.],1,3,0,0,141,0.8970788776145004,-36.0,2
19,1748,4,[445948.],1,19,0,0,399,0.4726604635219883,-68.0,3
20,5,5,[904736.],1,14,0,0,397,0.460774383631886,-58.0,0
21,586,5,[278376.],1,7,0,0,195,0.6898286631152891,-44.0,1
22,1175,5,[296101.],1,15,0,0,364,0.4768632270940274,-60.0,2
23,1749,5,[445948.],1,14,0,0,246,0.6113279769244098,-58.0,3
24,6,6,[904736.],1,3,0,0,91,1.2051973774622071,-36.0,0
25,587,6,[278376.],0,11,0,0,400,0.4513414785745299,-22.0,1
26,1176,6,[296101.],1,5,0,0,288,0.5757902216856746,-40.0,2
27,1750,6,[445948.],1,3,0,0,156,0.829888377570485,-36.0,3
28,7,7,[904736.],1,7,0,0,235,0.6173451579859806,-44.0,0
29,588,7,[278376.],1,17,0,0,323,0.5201117000303582,-64.0,1
30,1177,7,[296101.],1,3,0,0,103,1.0956012032505609,-36.0,2
31,1751,7,[445948.],0,21,0,0,400,0.4590440400622473,-42.0,3
32,8,8,[904736.],1,4,0,0,308,0.5057411465322795,-38.0,0
33,589,8,[278376.],1,9,0,0,252,0.5872035832764438,-48.0,1
34,1178,8,[296101.],1,9,0,0,345,0.502574391029436,-48.0,2
