Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulative reward
1,10,0,0,212,0.558690003180579,-40.0
1,3,0,0,118,0.9373873918244526,-26.0
1,5,0,0,186,0.6219734490372505,-30.0
1,7,0,0,155,0.7366931430681567,-34.0
1,15,0,0,252,0.4958619236786568,-50.0
1,11,0,0,245,0.5082627065877527,-42.0
1,4,0,0,96,1.1236047909863245,-28.0
1,9,0,0,132,0.8434960321607627,-38.0
1,6,0,0,198,0.5999633175613084,-32.0
1,16,0,0,264,0.47683504904142077,-52.0
0,18,0,0,401,0.34572601754679455,-36.0
1,17,0,0,300,0.4297281248554375,-54.0
1,3,0,0,103,1.049377531258999,-26.0
1,8,0,0,112,0.9676516546215941,-36.0
1,7,0,0,91,1.1672574636448645,-34.0
1,7,0,0,183,0.6259003812958289,-34.0
1,3,0,0,137,0.8191834659062533,-26.0
1,3,0,0,70,1.4861453206240118,-26.0
1,21,0,0,338,0.39497552508145056,-62.0
1,3,0,0,115,0.9449800033611749,-26.0
1,12,0,0,231,0.5268361683973706,-44.0
1,7,0,0,215,0.5598604657270604,-34.0
1,10,0,0,154,0.7198279445442852,-40.0
1,3,0,0,120,0.9130670013006367,-26.0
1,3,0,0,110,0.9856518548009203,-26.0
1,3,0,0,111,0.9664110439473843,-26.0
1,9,0,0,128,0.8612362504872505,-38.0
1,7,0,0,168,0.6794378135339726,-34.0
1,5,0,0,97,1.1020245940602904,-30.0
1,3,0,0,168,0.6845653906642426,-26.0
1,6,0,0,112,0.9571832916151718,-32.0
1,8,0,0,245,0.5104503694880795,-36.0
1,3,0,0,205,0.5769307130632003,-26.0
1,9,0,0,152,0.7243725770438378,-38.0
1,5,0,0,169,0.6827104334072411,-30.0
1,8,0,0,222,0.5463843310852439,-36.0
1,13,0,0,389,0.35461112570973063,-46.0
1,7,0,0,168,0.6690246489276452,-34.0
1,10,0,0,257,0.48275402603836726,-40.0
1,3,0,0,142,0.7973225919339534,-26.0
1,22,0,0,340,0.3892566033141244,-64.0
1,5,0,0,163,0.7110320707523753,-30.0
